way en name,# segs,way id,length,length in segmented (for check),obs f1,obs + interpol f1,AUC,Accidents
Island Eastern Corridor,91,86463853,4430.607887,4430.607887,3339,3321,0,0
Island Eastern Corridor,2,86463853,24.26895468,4430.607887,3339,3321,0,0
Island Eastern Corridor,11,289970174,245.5281405,245.5281405,3464,3271,0,0
Tate's Cairn Highway,6,209321614,161.9623195,161.9623195,3210,3204,0,0
North West Tsing Yi Interchange,17,158307198,412.2212557,412.2212557,3186,3184,0,0
Lin Cheung Road,11,103656342,387.4095871,387.4095871,2990,2958,0,0
Kong Sham Western Highway,32,277767743,871.3356019,871.3356019,1641,2847,0,0
Lion Rock Tunnel Road,4,240285900,80.98049184,80.98049184,3112,2685,0,0
Tsing Sha Highway,10,227327485,208.634197,208.634197,2888,2668,0,0
North West Tsing Yi Interchange,5,157812465,189.1429065,189.1429065,2745,2660,0,0
Tai Hong Street,4,86463856,42.87928568,42.87928568,2992,2600,0,0
Penny's Bay Highway,21,31858088,806.2205412,806.2205412,2798,2563,0,0
Hung Tin Road,15,161557470,553.9219676,553.9219676,2313,2542,0,0
Tai Po Tai Wo Road,27,266307201,435.5027954,435.5027954,2446,2462,0,0
Tung Hei Road,9,59875808,335.32623,335.32623,2424,2409,0,0
Yuen Long Highway,8,244306333,304.2134627,304.2134627,2420,2387,0,0
Sui Cheung Street,9,41384933,148.0119956,148.0119956,2215,2210,0,0
Lion Rock Tunnel Road,6,44809931,77.40810393,77.40810393,2230,2201,0,0
Wo Yi Hop Interchange,4,157984289,99.69062231,99.69062231,2195,2190,0,0
Yuen Long Highway,4,47071908,160.5941969,160.5941969,2180,2177,0,0
Penny's Bay Highway,7,304331856,352.5440942,352.5440942,2098,2093,0,0
Cheung Tsing Highway,4,288214713,82.94718501,82.94718501,2078,2076,0,0
Tai Po Tai Wo Road,5,146471302,136.5412295,136.5412295,3589,2051,0,0
Tsuen Wan Road,4,111821491,53.29614734,53.29614734,1958,1950,0,0
North West Tsing Yi Interchange,15,114437458,473.209045,473.209045,1941,1938,0,0
Long Tin Road,10,157810989,305.6312231,305.6312231,1818,1819,0,0
Ma On Shan Road,5,406755618,78.12034693,78.12034693,1736,1735,0,0
Kong Sham Western Highway,31,161557620,1047.287569,1047.287569,1177,1632,0,0
San Tin Highway,7,157803669,266.243645,266.243645,1482,1484,0,0
Shap Pat Heung Interchange,8,135328157,291.9253704,291.9253704,1431,1447,0,0
Tuen Mun Road,3,158972997,72.39906739,72.39906739,1489,1440,0,0
Shap Pat Heung Interchange,7,135328158,450.553828,450.553828,1389,1394,0,0
Hung Tin Road,15,157811037,626.0951909,626.0951909,976,1337,0,0
Sha Tin Road,4,45246867,49.83118638,49.83118638,1364,1237,0,0
Yuen Long Highway,6,49709069,227.0287223,227.0287223,1329,1213,0,0
Tuen Mun Road,5,277518790,75.49930246,75.49930246,1213,1160,0.9945054945,1
Kong Sham Western Highway,21,111708102,988.7578097,988.7578097,819,1092,0,0
Penny's Bay Highway,6,304331855,230.7940229,230.7940229,1086,1086,0,0
Tong Shui Road,7,85243301,233.4945933,233.4945933,1069,1049,0,0
Lam Tei Interchange,9,41178717,227.8812524,227.8812524,1030,1031,0,0
Tong Shui Road,4,27030718,82.82301205,82.82301205,1188,1010,0,0
Tsing Long Highway,10,160073831,237.353637,237.353637,920,915,0,0
Yuen Long Highway,4,47072179,79.75397532,79.75397532,836,834,0,0
Yuen Long Highway,7,258035192,468.1844677,468.1844677,803,807,0,0
Cheung Tsing Highway,3,114437372,47.48021575,47.48021575,797,794,0,0
Yuen Long Highway,4,161557782,173.1344065,173.1344065,780,780,0,0
Yuen Long Highway,6,157811035,230.3034716,230.3034716,779,779,0,0
Hung Tin Road,11,157811057,275.808384,275.808384,756,754,0,0
Yuen Long Highway,4,147560170,75.84924744,75.84924744,738,738,0,0
Sha Tin Road,10,32589784,242.8889858,242.8889858,736,713,0,0
San Tin Highway,6,135960877,246.9939226,246.9939226,685,682,0,0
Cheung Tsing Highway,2,303635133,32.9645883,32.9645883,674,672,0,0
North West Tsing Yi Interchange,8,114437456,260.3011456,260.3011456,657,662,0,0
Yuen Long Highway,8,114397979,153.9694287,153.9694287,666,650,0,0
Hong Kong–Shenzhen Western Corridor,9,276506951,393.4639105,393.4639105,628,628,0,0
Tai Wo Service Road East,3,146667662,96.74156787,96.74156787,556,555,0,0
San Tin Highway,2,168838493,132.1101298,132.1101298,485,484,0,0
Shek Mun Interchange,10,406767381,195.5634782,195.5634782,416,416,0,0
Hung Tin Road,10,157811059,164.1329977,164.1329977,387,387,0,0
Tsing Long Highway,6,192250535,210.7656802,210.7656802,375,368,0,0
Lam Tei Interchange,5,209552119,109.6880845,109.6880845,335,319,0,0
Kong Sham Western Highway,18,161557589,561.5595507,561.5595507,257,269,0,0
Fanling Highway,6,135960972,264.2705939,264.2705939,186,186,0,0
Cheung Tsing Highway,3,288214737,45.79367608,45.79367608,182,182,0,0
Yuen Long Highway,7,302152939,256.855209,256.855209,153,153,0,0
Island Eastern Corridor,88,28808138,3639.79845,3639.79845,153,149,0,0
Tong Shui Road,9,85243296,267.978367,267.978367,164,146,0,0
Yuen Long Highway,3,161557639,122.1399563,122.1399563,141,141,0,0
Tai Wo Service Road East,7,146667664,70.35012739,70.35012739,118,116,0,0
Kong Sham Western Highway,8,161557600,351.7988638,351.7988638,89,89,0,0
Eastern Harbour Crossing,2,310075912,58.52757944,58.52757944,219,79,0,0
Kong Sham Western Highway,16,161557586,511.5085211,511.5085211,53,52,0,0
Kong Sham Western Highway,11,161557567,321.9713648,321.9713648,43,40,0,0
Yuen Long Highway,4,157811043,164.0521617,164.0521617,39,39,0,0
Hong Kong–Shenzhen Western Corridor,13,276506948,802.8660042,802.8660042,3,3,0,0
Tseung Kwan O Tunnel,5,23349951,884.5182166,884.5182166,0,0,0,0
