f1,f2,f3,f4
0.2426547808,0.3942231234,0.1972880528,0.8374532613
0.4430008382,#N/A,#N/A,0.7632194245
0.6730644993,0.6986850659,0.6825037869,0.7169480615
0.6685546875,0.5966270866,0.5454209462,0.558193188
0.2617237009,0.7342549923,0.3874541687,0.5094029149
0.6120280037,0.1565032276,0.4962907529,0.7037188828
0.7648665049,#N/A,#N/A,0.5928473177
0.5056382677,0.6555127292,0.6230445668,0.7022004609
0.5207898083,#N/A,#N/A,0.7219167966
0.3814262584,0.5257569643,0.1596820369,0.342674338
0.6558422549,0.6705596235,0.1903081501,0.7546283626
0.1836283186,#N/A,#N/A,#N/A
0.1936581517,#N/A,#N/A,#N/A
0.2029758012,#N/A,#N/A,#N/A
0.2959763484,#N/A,#N/A,#N/A
0.3229335494,#N/A,#N/A,#N/A
0.0832146973,#N/A,0.3799708234,0.2236361263
0.1658630665,#N/A,#N/A,0.3535487594
0.369266055,0.1078498294,#N/A,#N/A
0.9698774157,0.5829438695,0.9676023332,0.8297019825
0.3615797546,0.2687908497,#N/A,#N/A
0.0545783756,#N/A,0.4351653205,#N/A
0.4271262645,#N/A,#N/A,#N/A
0.4486062718,#N/A,#N/A,#N/A
0.4605577818,#N/A,#N/A,#N/A
0.4251251707,0.930385289,0.4522990976,0.620631857
0.4684091764,#N/A,#N/A,#N/A
0.509156586,#N/A,#N/A,0.1879466413
0.4894727173,#N/A,#N/A,#N/A
0.5466844512,#N/A,0.2512135922,#N/A
0.3873189145,0.4798944894,0.9969545221,0.7149053214
0.843261313,0.311281,0.2108909203,0.4536165592
0.5591085271,#N/A,#N/A,#N/A
0.5016787537,#N/A,0.4696767174,#N/A
0.5698632891,#N/A,#N/A,#N/A
0.7459546173,#N/A,0.49805477,0.5080832384
0.6315789474,#N/A,#N/A,#N/A
0.663592233,#N/A,#N/A,#N/A
0.4942363112,#N/A,#N/A,0.6439768977
0.6758213015,#N/A,#N/A,#N/A
0.5593813502,#N/A,0.6363443596,#N/A
0.7313303024,#N/A,#N/A,#N/A
0.7361862116,#N/A,#N/A,#N/A
0.7490933701,#N/A,#N/A,#N/A
0.7515267176,#N/A,#N/A,#N/A
0.7606951872,#N/A,#N/A,#N/A
0.8267788549,#N/A,#N/A,0.2518476864
0.7815351583,#N/A,#N/A,#N/A
0.9673934015,#N/A,0.4613911649,0.4831453327
0.5660535117,#N/A,#N/A,0.7868870403
0.802748227,#N/A,#N/A,#N/A
0.1121949437,#N/A,0.7350832606,0.7932064108
0.6990709268,0.7278042688,#N/A,#N/A
0.6982311539,#N/A,#N/A,0.7393002545
0.0378482565,#N/A,0.8203152364,0.6740752017
0.2341835605,#N/A,0.8991690324,#N/A
0.8685770751,#N/A,#N/A,#N/A
0.265138154,0.9637864641,#N/A,#N/A
0.1779548473,#N/A,0.9717532468,#N/A
0.1454314721,#N/A,0.8969849246,0.8600371747
